id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing
1,434,9930,2010-02-22 00:00:00,60,Balanced,,Little,50
2,434,9930,2014-09-19 00:00:00,52,Balanced,48.0,Normal,56
3,434,9930,2015-09-10 00:00:00,47,Balanced,41.0,Normal,54
4,77,8485,2010-02-22 00:00:00,70,Fast,,Little,70
5,77,8485,2011-02-22 00:00:00,47,Balanced,,Little,52
6,77,8485,2012-02-22 00:00:00,58,Balanced,,Little,62
7,77,8485,2013-09-20 00:00:00,62,Balanced,,Little,45
8,77,8485,2014-09-19 00:00:00,58,Balanced,64.0,Normal,62
9,77,8485,2015-09-10 00:00:00,59,Balanced,64.0,Normal,53
10,614,8576,2010-02-22 00:00:00,60,Balanced,,Little,40
11,614,8576,2011-02-22 00:00:00,65,Balanced,,Little,45
12,614,8576,2012-02-22 00:00:00,59,Balanced,,Little,52
13,614,8576,2013-09-20 00:00:00,59,Balanced,,Little,52
14,614,8576,2014-09-19 00:00:00,59,Balanced,57.0,Normal,52
15,614,8576,2015-09-10 00:00:00,59,Balanced,57.0,Normal,52
16,47,8564,2010-02-22 00:00:00,45,Balanced,,Little,30
17,47,8564,2011-02-22 00:00:00,65,Balanced,,Little,50
18,47,8564,2012-02-22 00:00:00,45,Balanced,,Little,50
19,47,8564,2013-09-20 00:00:00,48,Balanced,,Little,54
20,47,8564,2014-09-19 00:00:00,48,Balanced,70.0,Lots,52
21,47,8564,2015-09-10 00:00:00,48,Balanced,70.0,Lots,52
22,1901,10215,2010-02-22 00:00:00,30,Slow,,Little,30
23,1901,10215,2011-02-22 00:00:00,30,Slow,,Little,50
24,1901,10215,2012-02-22 00:00:00,45,Balanced,,Little,44
25,1901,10215,2013-09-20 00:00:00,45,Balanced,,Little,44
26,1901,10215,2014-09-19 00:00:00,52,Balanced,53.0,Normal,44
27,1901,10215,2015-09-10 00:00:00,53,Balanced,53.0,Normal,44
28,650,10217,2010-02-22 00:00:00,30,Slow,,Little,35
29,650,10217,2011-02-22 00:00:00,53,Balanced,,Little,53
30,650,10217,2012-02-22 00:00:00,38,Balanced,,Little,44
31,650,10217,2013-09-20 00:00:00,38,Balanced,,Little,47
32,650,10217,2014-09-19 00:00:00,58,Balanced,47.0,Normal,55
33,650,10217,2015-09-10 00:00:00,56,Balanced,40.0,Normal,66
34,245,8593,2010-02-22 00:00:00,30,Slow,,Little,30
35,245,8593,2011-02-22 00:00:00,40,Balanced,,Little,38
36,245,8593,2012-02-22 00:00:00,31,Slow,,Little,33
37,245,8593,2013-09-20 00:00:00,35,Balanced,,Little,33
38,245,8593,2014-09-19 00:00:00,40,Balanced,40.0,Normal,30
39,245,8593,2015-09-10 00:00:00,35,Balanced,43.0,Normal,39
40,1861,9865,2010-02-22 00:00:00,65,Balanced,,Little,45
41,1861,9865,2011-02-22 00:00:00,55,Balanced,,Little,53
42,1861,9865,2012-02-22 00:00:00,42,Balanced,,Little,70
43,1861,9865,2013-09-20 00:00:00,46,Balanced,,Little,65
44,1861,9865,2014-09-19 00:00:00,46,Balanced,41.0,Normal,65
45,1861,9865,2015-09-10 00:00:00,46,Balanced,41.0,Normal,65
46,229,8635,2010-02-22 00:00:00,50,Balanced,,Little,35
47,229,8635,2011-02-22 00:00:00,50,Balanced,,Little,52
48,229,8635,2012-02-22 00:00:00,52,Balanced,,Little,41
49,229,8635,2013-09-20 00:00:00,52,Balanced,,Little,41
50,229,8635,2014-09-19 00:00:00,52,Balanced,46.0,Normal,51
51,229,8635,2015-09-10 00:00:00,52,Balanced,46.0,Normal,51
52,1530,8121,2010-02-22 00:00:00,45,Balanced,,Little,35
53,1530,8121,2011-02-22 00:00:00,65,Balanced,,Little,50
54,1530,8121,2012-02-22 00:00:00,50,Balanced,,Little,50
55,1530,8121,2013-09-20 00:00:00,50,Balanced,,Little,50
56,1530,8121,2014-09-19 00:00:00,48,Balanced,61.0,Normal,50
57,1530,8121,2015-09-10 00:00:00,48,Balanced,61.0,Normal,50
58,111082,8322,2010-02-22 00:00:00,30,Slow,,Little,45
59,111082,8322,2011-02-22 00:00:00,46,Balanced,,Little,37
60,111989,108893,2010-02-22 00:00:00,50,Balanced,,Little,65
61,111989,108893,2011-02-22 00:00:00,50,Balanced,,Little,65
62,111989,108893,2012-02-22 00:00:00,23,Slow,,Little,33
63,111989,108893,2013-09-20 00:00:00,41,Balanced,,Little,48
64,111989,108893,2014-09-19 00:00:00,39,Balanced,48.0,Normal,54
65,111989,108893,2015-09-10 00:00:00,56,Balanced,46.0,Normal,54
66,159,9912,2010-02-22 00:00:00,40,Balanced,,Little,65
67,159,9912,2011-02-22 00:00:00,46,Balanced,,Little,58
68,159,9912,2014-09-19 00:00:00,62,Balanced,49.0,Normal,55
69,112513,158085,2014-09-19 00:00:00,69,Fast,66.0,Normal,39
70,112513,158085,2015-09-10 00:00:00,65,Balanced,66.0,Normal,39
71,1,9825,2010-02-22 00:00:00,66,Balanced,,Little,30
72,1,9825,2011-02-22 00:00:00,75,Fast,,Little,40
73,1,9825,2012-02-22 00:00:00,25,Slow,,Little,32
74,1,9825,2013-09-20 00:00:00,30,Slow,,Little,29
75,1,9825,2014-09-19 00:00:00,59,Balanced,51.0,Normal,26
76,1,9825,2015-09-10 00:00:00,59,Balanced,51.0,Normal,30
77,2,10252,2010-02-22 00:00:00,70,Fast,,Little,59
78,2,10252,2011-02-22 00:00:00,65,Balanced,,Little,50
79,2,10252,2012-02-22 00:00:00,67,Fast,,Little,58
80,2,10252,2013-09-20 00:00:00,63,Balanced,,Little,59
81,2,10252,2014-09-19 00:00:00,66,Balanced,32.0,Little,72
82,2,10252,2015-09-10 00:00:00,63,Balanced,37.0,Normal,54
83,39,8524,2010-02-22 00:00:00,35,Balanced,,Little,40
84,39,8524,2011-02-22 00:00:00,65,Balanced,,Little,50
85,39,8524,2012-02-22 00:00:00,40,Balanced,,Little,50
86,39,8524,2013-09-20 00:00:00,64,Balanced,,Little,36
87,39,8524,2014-09-19 00:00:00,64,Balanced,45.0,Normal,37
88,39,8524,2015-09-10 00:00:00,64,Balanced,45.0,Normal,37
89,448,8315,2010-02-22 00:00:00,60,Balanced,,Little,45
90,448,8315,2011-02-22 00:00:00,70,Fast,,Little,69
91,448,8315,2012-02-22 00:00:00,42,Balanced,,Little,59
92,448,8315,2013-09-20 00:00:00,46,Balanced,,Little,38
93,448,8315,2014-09-19 00:00:00,46,Balanced,41.0,Normal,38
